identifier,taxon_of_interest,family,genus,species,Fragment,Scoloptoxin?
NCBI|Boiga_dendrophila_dendrophila_GGUB01000002|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,full_seq (SP),
NCBI|Boiga_dendrophila_dendrophila_GGUB01000005|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,full_seq (SP),
NCBI|Boiga_dendrophila_dendrophila_GGUB01000024|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,full_seq (SP),
NCBI|Boiga_dendrophila_dendrophila_GGUB01000025|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,full_seq (SP),
NCBI|Boiga_dendrophila_dendrophila_GGUB01000027|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,full_seq (SP),
None|1217Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1221Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1231Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1233Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1237Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1283Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1305Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1307Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1311Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1313Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1315Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1319Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1321Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1323Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1325Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1327Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1329Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1383Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1387Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1389Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1391Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1393Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1399Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1401Boiga_|Boiga_dendrophila_dendrophila,Colubridae,Colubridae,Boiga,Boiga dendrophila dendrophila,mature_seq (NO_SP),
None|1223Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1225Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1227Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1309Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1317Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1385Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
None|1397Boiga_|Boiga_dendrophila_gemmicincta,Colubridae,Colubridae,Boiga,Boiga dendrophila gemmicincta,mature_seq (NO_SP),
NCBI|Boiga_irregularis_Brisbane_GGUD01000006|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
NCBI|Boiga_irregularis_Sulawesi_GGUE01000001|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZX5|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
NCBI|Boiga_irregularis_Brisbane_GGUD01000001|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
NCBI|Boiga_irregularis_Brisbane_GGUD01000007|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
None|1253Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1255Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1263Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1279Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1281Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1289Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1295Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1355Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1359Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1363Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1367Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1371Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1373Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
None|1381Boiga_|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,mature_seq (NO_SP),
SP|A0S864|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
SP|A0S865|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS19|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS22|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS37|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS42|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS43|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS45|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RS48|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RSY0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RSY6|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RSZ0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RSZ1|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RSZ3|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RVA5|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RVB2|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RVB7|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RVB9|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RVC5|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYW2|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYX1|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYX5|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYY0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYY3|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYY5|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RYY9|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZW9|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZX0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZX6|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZX8|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A0B8RZY0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A193CHL4|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A193CHL6|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A193CHL9|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A193CHM0|Boiga_irregularis,Colubridae,Colubridae,Boiga,Boiga irregularis,full_seq (SP),
TR|A0A6G1S2N1|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,full_seq (SP),
None|1285Boiga_|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,mature_seq (NO_SP),
None|1345Boiga_|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,mature_seq (NO_SP),
None|1347Boiga_|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,mature_seq (NO_SP),
TR|A0A193CHL8|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,full_seq (SP),
TR|A0A6G1S2M3|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,full_seq (SP),
TR|A0A6G1S2M9|Boiga_nigriceps,Colubridae,Colubridae,Boiga,Boiga nigriceps,full_seq (SP),
NCBI|Boiga_trigonata_GGUG01000004|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|Boiga_trigonata_GGUG01000001|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|Boiga_trigonata_GGUG01000002|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|Boiga_trigonata_GGUG01000005|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|Boiga_trigonata_GGUG01000007|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|BOITR_GGUG01000006.1_1_318|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
NCBI|BOITR_GGUG01000007.1_1_330|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,full_seq (SP),
None|1331Boiga_|Boiga_trigonata,Colubridae,Colubridae,Boiga,Boiga trigonata,mature_seq (NO_SP),
SP|P83490|Coelognathus_radiatus,Colubridae,Colubridae,Coelognathus,Coelognathus radiatus,mature_seq (NO_SP),
NCBI|CONLI_GJFD01001950.1_49_315|Conophis_lineatus,Colubridae,Colubridae,Conophis,Conophis lineatus,mature_seq (NO_SP),
SP|A7X6J0|Dispholidus_typus,Colubridae,Colubridae,Dispholidus,Dispholidus typus,full_seq (SP),
TR|A7X3Q4|Dispholidus_typus,Colubridae,Colubridae,Dispholidus,Dispholidus typus,full_seq (SP),
TR|A7X3T2|Dispholidus_typus,Colubridae,Colubridae,Dispholidus,Dispholidus typus,full_seq (SP),
TR|A7X3U0|Dispholidus_typus,Colubridae,Colubridae,Dispholidus,Dispholidus typus,full_seq (SP),
TR|A7X3P2|Erythrolamprus_poecilogyrus,Colubridae,Colubridae,Erythrolamprus,Erythrolamprus poecilogyrus,full_seq (SP),
TR|A7X3P8|Erythrolamprus_poecilogyrus,Colubridae,Colubridae,Erythrolamprus,Erythrolamprus poecilogyrus,full_seq (SP),
SP|A7X3M9|Erythrolamprus_poecilogyrus,Colubridae,Colubridae,Erythrolamprus,Erythrolamprus poecilogyrus,full_seq (SP),
NCBI|HELLE_OL366256.1_49_246|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
NCBI|HELLE_OL366259.1_1_249|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
NCBI|HELLE_OL366260.1_1_243|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
NCBI|HELLE_OL366262.1_1_258|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
NCBI|HELLE_OL366263.1_1_237|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
None|Helicops_leopardinus_unigene312779|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
None|Helicops_leopardinus_unigene312780|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
None|Helicops_leopardinus_unigene312792|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
None|Helicops_leopardinus_unigene312798|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
None|Helicops_leopardinus_unigene488093|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
None|Helicops_leopardinus_unigene488904|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,full_seq (SP),
None|Helicops_leopardinus_unigene490899|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
None|Helicops_leopardinus_unigene57119|Helicops_leopardinus,Colubridae,Colubridae,Helicops,Helicops leopardinus,mature_seq (NO_SP),
NCBI|HETNA_OL366266.1_1_249|Heterodon_nasicus,Colubridae,Colubridae,Heterodon,Heterodon nasicus,full_seq (SP),
None|Heterodon_nasicus_unigene14895|Heterodon_nasicus,Colubridae,Colubridae,Heterodon,Heterodon nasicus,mature_seq (NO_SP),
None|Heterodon_nasicus_unigene2480|Heterodon_nasicus,Colubridae,Colubridae,Heterodon,Heterodon nasicus,mature_seq (NO_SP),
None|Heterodon_nasicus_unigene384518|Heterodon_nasicus,Colubridae,Colubridae,Heterodon,Heterodon nasicus,mature_seq (NO_SP),
None|Heterodon_nasicus_unigene617783|Heterodon_nasicus,Colubridae,Colubridae,Heterodon,Heterodon nasicus,mature_seq (NO_SP),
TR|A0A098M253|Hypsiglena_sp._JMG-2014,Colubridae,Colubridae,Hypsiglena,Hypsiglena sp. JMG-2014,full_seq (SP),
TR|A0A098LWV3|Opheodrys_aestivus,Colubridae,Colubridae,Opheodrys,Opheodrys aestivus,full_seq (SP),
TR|A0A098LWU4|Opheodrys_aestivus,Colubridae,Colubridae,Opheodrys,Opheodrys aestivus,full_seq (SP),
TR|A0A098LYB1|Opheodrys_aestivus,Colubridae,Colubridae,Opheodrys,Opheodrys aestivus,full_seq (SP),
SP|C0HJD3|Oxybelis_fulgidus,Colubridae,Colubridae,Oxybelis,Oxybelis fulgidus,mature_seq (NO_SP),
TR|A0A193CHK9|Oxybelis_fulgidus,Colubridae,Colubridae,Oxybelis,Oxybelis fulgidus,full_seq (SP),
TR|A0A098LYG6|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,full_seq (SP),
NCBI|Pgut_NW_023031289_1_mka|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,mature_seq (NO_SP),
TR|A0A098LYH6|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,full_seq (SP),
TR|A0A098LYI5|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,full_seq (SP),
TR|A0A6P9C8Z9|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,full_seq (SP),
NCBI|Pgut_NW_023011746_1_mka|Pantherophis_guttatus,Colubridae,Colubridae,Pantherophis,Pantherophis guttatus,mature_seq (NO_SP),
TR|A0A182C5S7|Phalotris_mertensi,Colubridae,Colubridae,Phalotris,Phalotris mertensi,full_seq (SP),
TR|A0A182C5Y1|Phalotris_mertensi,Colubridae,Colubridae,Phalotris,Phalotris mertensi,full_seq (SP),
NCBI|RHASU_OL439256.1_49_252|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
NCBI|RHASU_OL439258.1_1_255|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
None|Rhabdophis_subminiatus_unigene144234|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,mature_seq (NO_SP),
None|Rhabdophis_subminiatus_unigene61055|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,mature_seq (NO_SP),
NCBI|RHASU_OL439257.1_1_264|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
NCBI|RHASU_OL439259.1_1_258|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
NCBI|RHASU_OL439262.1_1_264|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
NCBI|RHASU_OL439263.1_1_264|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,full_seq (SP),
None|Rhabdophis_subminiatus_unigene52075|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,mature_seq (NO_SP),
None|Rhabdophis_subminiatus_unigene76486|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,mature_seq (NO_SP),
None|Rhabdophis_subminiatus_unigene76489|Rhabdophis_subminiatus,Colubridae,Colubridae,Rhabdophis,Rhabdophis subminiatus,mature_seq (NO_SP),
TR|A0A346CI88|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CI89|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CI93|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CI94|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CI95|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIA0|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIA9|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB0|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB1|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB2|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB4|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB5|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
TR|A0A346CIB7|Spilotes_sulphureus,Colubridae,Colubridae,Spilotes,Spilotes sulphureus,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002418.1_1_255|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002407.1_1_318|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002408.1_1_327|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002409.1_1_333|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002410.1_1_321|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002419.1_1_255|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002420.1_1_258|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002421.1_70_255|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
NCBI|TANNI_GJFV01002438.1_1_327|Tantilla_nigriceps,Colubridae,Colubridae,Tantilla,Tantilla nigriceps,mature_seq (NO_SP),
TR|A7X3N6|Telescopus_dhara,Colubridae,Colubridae,Telescopus,Telescopus dhara,full_seq (SP),
TR|A7X3S5|Telescopus_dhara,Colubridae,Colubridae,Telescopus,Telescopus dhara,full_seq (SP),
SP|A7X3V0|Telescopus_dhara,Colubridae,Colubridae,Telescopus,Telescopus dhara,full_seq (SP),
TR|A7X3S8|Telescopus_dhara,Colubridae,Colubridae,Telescopus,Telescopus dhara,full_seq (SP),
NCBI|THAST_JK264299.1_33_284|Thamnodynastes_strigatus,Colubridae,Colubridae,Thamnodynastes,Thamnodynastes strigatus,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_14|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|THAEL_XM_032222341.1_64_258|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_1_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_10_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_11_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_13_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_16|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_17|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_18|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_2_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_4_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_5_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_6_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_7_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_8_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_NC_045548_1_gene_1_mRNA_9_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,mature_seq (NO_SP),
NCBI|Tele_rna_XM_032222338_1|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
NCBI|Tele_rna_XM_032222748_1_mka|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
NCBI|THAEL_XM_032222342.1_49_258|Thamnophis_elegans,Colubridae,Colubridae,Thamnophis,Thamnophis elegans,full_seq (SP),
