identifier,verdict,assessment,assessment_note,fp_category,actual_label,predicted_label
P09464,nontox,incorrect,Butterfly hemolymph bilin-binding lipocalin (endogenous pigment carrier); the calycin fold is venom-recruited in tick salivary lipocalins -> false-positive. Same pattern as CE065.,endogenous_carrier,nontox,Calycin superfamily
P11424,nontox,incorrect,"Fly male accessory-gland protease inhibitor (reproductive, paragonial peptide D), not venom -> false-positive.",reproductive,nontox,Venom Kunitz-type family
P14423,nontox,incorrect,Rat endogenous secreted group-IIA PLA2; shares the venom PLA2 family -> false-positive.,endogenous_enzyme,nontox,Phospholipase family
V5N6J4,tox,correct,"Centipede venom-gland U-scoloptoxin(15)-Ssm2a (SLPTX15 family); the model's Scoloptoxin call is biologically right. The 'other' ground truth only reflects that SLPTX15 is an unmodeled sub-family, so this is a label artifact rather than a model error.",,other,Scoloptoxin family
P20253,tox,correct,Mulga-snake venom-gland PLA2 (group I); genuine venom family member.,,nontox,Phospholipase family
C0HJF6,tox,correct,"Frog skin-gland tryptophyllin-1 (FSAP): inhibits bradykinin-induced relaxation of rat artery smooth muscle and is anti-proliferative on human cell lines, so pharmacologically active on vertebrates and therefore toxic. FSAP family unmodeled, so 'other' is the correct tox call. This is the characterised anchor for the tryptophyllin homology inference.",,nontox,other
P81162,tox,correct,"Cattle-tick protease inhibitor carrapatin (blood-feeding secretion); venom-Kunitz fits a tick Kunitz-fold anti-hemostatic, consistent with TAP (CE014).",,nontox,Venom Kunitz-type family
B5KL37,tox,correct,Small-eyed snake venom-gland Kunitz-type inhibitor (nigrescinin-6); genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
O96059,nontox,incorrect,"Silkworm endogenous immune AMP moricin-2 (fat body, hemocytes); amphipathic cationic helix -> false-positive.",true_antimicrobial,nontox,Cationic peptide family
Q86MA1,nontox,incorrect,Hawkmoth endogenous immune AMP moricin; amphipathic cationic helix -> false-positive.,true_antimicrobial,nontox,Cationic peptide family
P42993,nontox,incorrect,Carp endogenous isotocin hormone; the vasopressin/oxytocin family is venom-recruited (conopressins) but this is the physiological hormone -> false-positive.,endogenous_hormone,nontox,Vasopressin/oxytocin family
P84015,tox,correct,"Armed-spider venom-gland ctenitoxin (neurotoxin 33 family, knottin); neurotoxin family is right. Non-lethal to mice, but a genuine venom-gland product.",,nontox,Neurotoxin family
P0DSM0,tox,correct,"Ant venom-gland myrmexin subunit; family unmodeled, so 'other' is the correct tox call.",,nontox,other
B0M2U6,nontox,incorrect,"Gladiator-bug endogenous myoinhibitory neuropeptide (myosuppressin, an RFamide); FARP is the right family but this is not venom -> false-positive. Same pattern as CE045.",endogenous_hormone,nontox,FARP (FMRFamide related peptide) family
L0GAZ8,tox,correct,Scorpion venom-gland antimicrobial peptide UyCT5; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
P83411,nontox,incorrect,"Moth hemolymph antifungal peptide spodomicin (diapausin family, endogenous immune) -> false-positive toxin call.",true_antimicrobial,nontox,other
P16044,nontox,incorrect,"Horseshoe-crab endogenous Kunitz/BPTI-type protease inhibitor (hemolymph), not venom -> false-positive.",endogenous_protease_inhibitor,nontox,Venom Kunitz-type family
Q5BQX9,nontox,incorrect,Uncharacterized blood-fluke secreted knottin with no toxin evidence; the ICK fold drove the neurotoxin call -> false-positive.,uncharacterized,nontox,Neurotoxin family
P80027,nontox,incorrect,"Octopus endogenous cephalotocin (vasopressin/oxytocin family neurohormone); right family, not venom -> false-positive.",endogenous_hormone,nontox,Vasopressin/oxytocin family
Q8T0W4,tox,correct,Parasitoid-wasp venom-gland Kunitz-type inhibitor (cvp2); genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
P82321,nontox,incorrect,"Termite endogenous antifungal defensin-like AMP termicin (salivary glands and hemocytes, immune rather than a feeding secretion); the CSaB fold drove the scorpion-toxin call -> false-positive.",true_antimicrobial,nontox,Short scorpion toxin superfamily
Q8WQZ3,nontox,incorrect,Cabbage-moth endogenous immune defensin; the CSaB scaffold is shared with scorpion toxins -> false-positive.,true_antimicrobial,nontox,Long (3 C-C) scorpion toxin superfamily
R4JJN6,tox,correct,Scorpion venom-gland pantinin-3; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
P0DX47,tox,partial,"Saddleback-caterpillar venom-spine toxin that is a venom-recruited FMRFamide-related peptide; the label follows the FARP fold family while the model followed the limacoditoxin venom naming. Venom-correct, family label genuinely ambiguous.",,FARP (FMRFamide related peptide) family,Limacoditoxin family
I7GQA7,tox,correct,Carpenter-bee venom PLA2 (group III); genuine venom family member.,,nontox,Phospholipase family
C0HJV8,tox,partial,"Spider venom cationic peptide (met-lysine); broad 'cationic peptide' call is venom-correct, family approximate.",,nontox,Cationic peptide family
Q6YBR5,nontox,incorrect,"Zebrafish endogenous nerve growth factor; NGF is venom-recruited in snakes, but this is the physiological growth factor -> false-positive toxin call.",endogenous_hormone,nontox,other
P0DJ46,tox,correct,Scorpion venom-gland Kunitz-type inhibitor LmKTT-1a (delta-KTx 2.1); genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
A8E2V9,tox,correct,Habu venom-gland PLA2 (group II K49 myotoxin); genuine venom family member.,,nontox,Phospholipase family
A0A0K1YW63,tox,incorrect,"Honeybee venom-gland secapin (antifibrinolytic, antielastolytic, hemostasis-impairing); model called nontox -> false negative. Note the model made the opposite (tox) call on the sister secapin CE117.",,other,nontox
P0DX33,tox,correct,Potter-wasp venom-gland eumenine mastoparan-EM3; MCD/mastoparan family is exactly right.,,nontox,MCD family
A0A0E3SVB8,tox,correct,Cone-snail venom-duct conotoxin phi-MiXXVIIB (G2 superfamily); conotoxin family is exactly right.,,nontox,Conotoxin family
A3FMN3,tox,correct,"Tsetse salivary nuclease Tsal2A (blood-feeding secretion); endonuclease family unmodeled, so 'other' is the correct tox call.",,nontox,other
C0HJY4,tox,partial,"Ant venom-gland poneratoxin (Cav-impairing; poneritoxin-Ae1 family unmodeled so label is 'other'); the conotoxin call is a different venom family. Venom-correct, family wrong.",,other,Conotoxin family
C3TS04,tox,partial,"Sea-anemone nematocyst Nav toxin (type III, unmodeled so label is 'other'); the conotoxin call is a different venom family. Venom-correct, family wrong.",,other,Conotoxin family
P85818,nontox,incorrect,Kissing-bug endogenous SIFamide neuropeptide (FARP family); the bradykinin-related call is both wrong-family and non-venom -> false-positive.,endogenous_hormone,nontox,Bradykinin-related peptide family
P42998,nontox,incorrect,"Earthworm endogenous annetocin (vasopressin/oxytocin family, gut and nephridia); right family, not venom -> false-positive.",endogenous_hormone,nontox,Vasopressin/oxytocin family
P10831,nontox,incorrect,"Silkworm hemolymph protease inhibitor (immune, prophenoloxidase regulation), not venom; protease-inhibitor signal drove a venom-Kunitz call -> false-positive toxin.",endogenous_protease_inhibitor,nontox,Venom Kunitz-type family
E5L0E5,tox,correct,"Cottonmouth venom-gland plasminogen activator (peptidase S1, snake venom subfamily); family is exactly right.",,nontox,Peptidase S1 family
U3KRG1,tox,correct,Habu venom-gland metalloproteinase TM-1 (fibrinogenolytic); M12B P-I is exactly right.,,nontox,Venom metalloproteinase (M12B) family
Q86SC0,nontox,incorrect,Beetle endogenous antifungal chitin-binding peptide scarabaecin -> false-positive toxin call.,true_antimicrobial,nontox,other
P35042,nontox,incorrect,Moth endogenous digestive trypsin; peptidase S1 is venom-recruited (snake venom serine proteases) but this is a gut enzyme -> false-positive.,endogenous_enzyme,nontox,Peptidase S1 family
P16339,nontox,incorrect,"Locust endogenous diuretic hormone locupressin (vasopressin/oxytocin family); right family, not venom -> false-positive.",endogenous_hormone,nontox,Vasopressin/oxytocin family
A7X401,tox,partial,"Malagasy-hognose venom-gland true venom lectin (lectoxin-Lei1); the Snaclec call is the sister snake-venom C-type-lectin family. Venom-correct, family adjacent.",,nontox,Snaclec family
Q75WH5,tox,correct,"Funnel-web spider venom-gland hexatoxin magi-8 (neurotoxin 10 / Hwtx-1 family, knottin); neurotoxin family is right.",,nontox,Neurotoxin family
Q10996,nontox,incorrect,Lamprey endogenous alpha-defensin / corticostatin-related peptide; a small disulfide-rich peptide -> false-positive conotoxin call.,true_antimicrobial,nontox,Conotoxin family
P83416,nontox,incorrect,Moth hemolymph endogenous immune AMP virescein (moricin family) -> false-positive.,true_antimicrobial,nontox,Cationic peptide family
P00621,tox,correct,Rhinoceros-adder venom-gland PLA2 (group II); genuine venom family member.,,nontox,Phospholipase family
P82422,tox,correct,"Ant venom-gland ponericin-L2; family unmodeled, so 'other' is the correct tox call.",,nontox,other
P0DRH9,nontox,incorrect,"Sea-anemone endogenous insulin-like peptide 01; insulin is venom-recruited in cone snails, but this is the physiological hormone -> false-positive. Same pattern as CE023.",endogenous_hormone,nontox,Insulin family
P80090,nontox,incorrect,"Pond-snail endogenous insulin-related neuropeptide (growth control, neuroendocrine cells); insulin is venom-recruited in cone snails, but this is the physiological hormone -> false-positive.",endogenous_hormone,nontox,Insulin family
C0HL84,tox,partial,"Solitary-bee venom linear amphipathic peptide panurgin-1 (hemolytic); the MCD/mastoparan call is the adjacent hymenopteran venom-peptide family. Venom-correct, family approximate.",,nontox,MCD family
P28504,tox,correct,"Medicinal-leech salivary hirudin-2 (thrombin inhibitor, blood-feeding anti-hemostatic); hirudin family unmodeled, so 'other' is the correct tox call.",,nontox,other
Q07932,tox,correct,Jack-jumper ant venom pilosulin (Formicidae venom); genuine venom family member.,,nontox,Formicidae venom family
C0HL58,tox,correct,Scorpion venom-gland peptide Im-5; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
C0HK45,tox,correct,"Ant venom-gland ponericin-Q42 (membrane-perforating); family unmodeled, so 'other' is the correct tox call.",,nontox,other
P81437,nontox,incorrect,"Ant endogenous inducible immune AMP (formaecin-2, proline-rich), not venom -> false-positive; the natriuretic/BPP call is spurious. Same as CE073.",true_antimicrobial,nontox,"Natriuretic, Bradykinin potentiating peptide family"
P84953,tox,partial,"Frog skin-gland tryptophyllin-T2-8 (FSAP tryptophillin subfamily); no activity recorded for this entry, tox by homology with the myotropic characterised tryptophyllins (cf. CE166). The bradykinin-related call is the wrong family. Venom-context correct, family wrong.",,nontox,Bradykinin-related peptide family
P35003,nontox,incorrect,Abalone endogenous digestive chymotrypsin-like protease (intestine); peptidase S1 fold -> false-positive.,endogenous_enzyme,nontox,Peptidase S1 family
P81478,tox,correct,Bamboo pit-viper venom-gland PLA2 (group II); genuine venom family member.,,nontox,Phospholipase family
A0A7S8RGC8,tox,partial,"Tityus venom-gland sodium channel toxin Ts27 (long 4 C-C superfamily); the model picked the sister long (3 C-C) superfamily. Venom-correct, family adjacent.",,Long (4 C-C) scorpion toxin superfamily,Long (3 C-C) scorpion toxin superfamily
P00601,tox,correct,Forest-cobra venom-gland PLA2 (group I); genuine venom family member.,,nontox,Phospholipase family
P84950,tox,partial,"Frog skin-gland tryptophyllin-T3-2 (FSAP tryptophillin subfamily); no activity recorded for this entry, tox by homology with the myotropic characterised tryptophyllins (cf. CE166). The natriuretic/BPP call is the wrong family. Venom-context correct, family wrong.",,nontox,"Natriuretic, Bradykinin potentiating peptide family"
P56686,tox,correct,"Scorpion 4 kDa defensin: dual-function, and it blocks potassium channels as well as being antimicrobial. Channel blockade is an animal-directed toxin activity (scorpion defensins are the CSaB ancestor of the alpha-KTx toxins), so toxic on the evidence even though it is hemolymph-derived with no venom-gland annotation. The invertebrate defensin family is unmodeled, so 'other' is the correct tox call.",,nontox,other
Q75WG7,tox,correct,"Funnel-web spider venom-gland hexatoxin magi-12 (neurotoxin 03 / Tx2 family, knottin); neurotoxin family is right.",,nontox,Neurotoxin family
Q5Y4U5,tox,correct,"Funnel-web spider venom-gland agatoxin (neurotoxin 33 family, knottin); neurotoxin family is right.",,nontox,Neurotoxin family
Q7YTY6,nontox,incorrect,"Fly endogenous serpin 42Dd (Toll-pathway immune regulation, ovary) -> false-positive toxin call.",endogenous_protease_inhibitor,nontox,other
P0DRB9,tox,correct,Sea-anemone nematocyst ICK toxin active on pain receptors (U-isophellitoxin-Tst2); neurotoxin family is right.,,nontox,Neurotoxin family
P0DXW9,tox,incorrect,Flannel-moth venom-apparatus megalopygitoxin; model called nontox -> false negative.,,other,nontox
P19863,nontox,incorrect,Dog endogenous gut hormone motilin -> false-positive cationic-peptide call.,endogenous_hormone,nontox,Cationic peptide family
Q66S08,tox,incorrect,"Toadfish venom-gland natterin-P (kininogenase, nociceptive, edema-inducing); model called nontox -> false negative.",,other,nontox
Q7PN86,tox,correct,"Mosquito salivary D7-related 5 (blood-feeding secretion); PBP/GOBP is exactly the family UniProt assigns. This paralog does not bind biogenic amines, so the tox call rests on the salivary context (lower confidence).",,nontox,PBP/GOBP family
A0A090BX51,tox,correct,"Taiga-tick salivary immunosuppressive serpin Ipis-1 (blood-feeding secretion); serpin family unmodeled, so 'other' is the correct tox call.",,nontox,other
P82971,tox,correct,Bumblebee venom-gland PLA2 (allergen); genuine venom family member.,,nontox,Phospholipase family
Q06B75,tox,correct,"Common-tick salivary serpin Iripin-1 (modulates host response during blood feeding); serpin family unmodeled, so 'other' is the correct tox call.",,nontox,other
P0DY17,tox,correct,Scorpion venom-gland peptide Smp13; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
Q1L659,nontox,incorrect,"Brown snake's OWN plasma/liver coagulation factor X (endogenous S1 protease), not the venom prothrombin activator; Peptidase-S1 call shares a venom-recruited fold -> false-positive toxin.",endogenous_enzyme,nontox,Peptidase S1 family
D2Y2Q6,tox,correct,Bird-spider venom-gland Kunitz-type inhibitor (hainantoxin-XI-15); genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
C0HM26,tox,correct,"Mushroom-coral nematocyst peptide Hact-4; the cnidarian SCRiP call fits a small cysteine-rich nematocyst peptide. Function is undetermined, so the family call is plausible rather than confirmed (lower confidence).",,nontox,Cnidaria small cysteine-rich protein (SCRiP) family
P0DPU1,tox,incorrect,Centipede venom-gland CRISP / venom-allergen-5 toxin (voltage-gated calcium channel inhibitor); model called nontox -> false negative.,,CRISP family,nontox
A0A7S8MVN3,tox,partial,"Tityus venom-gland putative sodium channel toxin Ts41 (long 4 C-C superfamily); the model picked the sister long (3 C-C) superfamily. Venom-correct, family adjacent.",,Long (4 C-C) scorpion toxin superfamily,Long (3 C-C) scorpion toxin superfamily
A0A0M3KKW3,tox,correct,"Hornet venom-gland phospholipase A1 (potently hemolytic, lethal); venom PLA1 family unmodeled, so 'other' is the correct tox call.",,nontox,other
Q8LW54,tox,partial,"Honeybee venom melittin (melittin family unmodeled, so label is 'other'); the Formicidae-venom call is the analogous aculeate linear venom-peptide family. Venom-correct, family wrong.",,other,Formicidae venom family
P14754,nontox,incorrect,"Hawkmoth hemolymph serpin alaserpin (endogenous elastase inhibitor), not venom -> false-positive toxin call.",endogenous_protease_inhibitor,nontox,other
A6P331,tox,partial,"Solitary-wasp venom-gland peptide, no family assigned; the Formicidae-venom call is the adjacent aculeate venom-peptide family. Venom-correct, family approximate.",,nontox,Formicidae venom family
P0DRI9,tox,partial,Remipede venom-gland xibalbin-13 (Kv1 inhibitor; family unmodeled so label is 'other'); neurotoxin call is venom-correct but the family is approximate.,,other,Neurotoxin family
A9CM07,tox,correct,Jack-jumper ant venom-gland pilosulin-5 (histamine-releasing); Formicidae venom family is exactly right.,,nontox,Formicidae venom family
L0GCI6,tox,correct,Scorpion venom-gland antimicrobial peptide UyCT3; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
A0A0K8RJV9,tox,correct,"Common-tick salivary serpin Iripin-4 (blood-feeding secretion); serpin family unmodeled, so 'other' is the correct tox call.",,nontox,other
Q7M4I3,tox,correct,Bumblebee venom-duct protease (allergen); peptidase S1 family is exactly right.,,nontox,Peptidase S1 family
O46201,nontox,incorrect,"Fly seminal accessory-gland protein Acp98AB (reproductive), not venom -> false-positive; the limacoditoxin call is spurious.",reproductive,nontox,Limacoditoxin family
C5J886,tox,correct,Scorpion venom-gland antimicrobial peptide OcyC1; NDBP superfamily is exactly right.,,nontox,Non-disulfide-bridged peptide (NDBP) superfamily
A8Y7P0,tox,correct,Russell's viper venom-gland Kunitz-type inhibitor; genuine venom Kunitz family member.,,nontox,Venom Kunitz-type family
Q8MPZ7,nontox,incorrect,"C.elegans endogenous secreted serine protease inhibitor, no toxin evidence -> false-positive toxin call.",endogenous_protease_inhibitor,nontox,other
C8YJG3,tox,incorrect,Horsefly salivary CRISP tabinhibitin 8 (platelet-aggregation inhibitor); model called nontox -> false negative.,,CRISP family,nontox
